Designator,Mid X,Mid Y,Rotation,Layer
R27,31.563622,-93.463835,180.0,top
R28,41.402,-62.23,180.0,top
R29,42.9514,-60.706,180.0,top
R3,31.496,-62.23,180.0,top
R30,36.908947,-80.890763,180.0,top
R31,34.692516,-91.312482,180.0,top
R32,71.902283,-119.577312,270.0,top
R33,70.776374,-119.577312,270.0,top
R34,82.169,-63.246,270.0,top
R35,97.028,-56.642,180.0,top
R36,44.433218,-119.190969,180.0,top
R37,61.849,-118.745,0.0,top
R38,74.168,-41.783,270.0,top
R39,69.723,-40.894,180.0,top
R4,31.74214,-97.229049,180.0,top
R40,97.028,-57.785,180.0,top
R41,56.769,-48.26,180.0,top
R42,117.551,-122.403,270.0,top
R43,114.681,-105.029,180.0,top
R44,116.84,-124.714,180.0,top
R45,119.939,-121.539,0.0,top
R46,115.443,-102.616,270.0,top
R47,117.729,-101.727,0.0,top
R48,118.745,-111.633,90.0,top
R49,116.459,-91.567,90.0,top
R5,30.574932,-107.396728,180.0,top
R50,121.031,-110.871,180.0,top
R51,118.7195,-90.805,180.0,top
R52,122.301,-122.428,90.0,top
R53,120.015,-102.489,90.0,top
R54,123.317,-111.633,270.0,top
R55,121.031,-91.5415,270.0,top
R56,46.523712,-119.218476,180.0,top
R57,75.565,-62.103,90.0,top
R58,118.11,-35.052,90.0,top
R59,120.65,-35.052,90.0,top
R6,61.794205,-116.910763,0.0,top
R60,123.19,-35.052,90.0,top
R61,125.603,-35.052,90.0,top
R62,128.27,-35.052,90.0,top
R63,130.81,-35.077,90.0,top
R64,133.35,-35.052,90.0,top
R65,135.89,-35.052,90.0,top
R66,119.126,-123.825,90.0,top
R67,116.967,-104.0765,90.0,top
R68,56.769,-47.117,180.0,top
R69,56.769,-45.974,180.0,top
R7,91.632,-95.313,270.0,top
R70,56.769,-44.831,180.0,top
R71,56.769,-43.688,180.0,top
R72,56.769,-42.545,180.0,top
R73,56.769,-41.402,180.0,top
R74,56.769,-40.259,180.0,top
R75,54.864,-48.768,0.0,top
R76,54.864,-47.625,0.0,top
R77,54.887,-46.482,0.0,top
R78,54.887,-45.339,0.0,top
R79,54.864,-44.196,0.0,top
R8,30.353,-50.5715,90.0,top
R80,54.864,-43.053,0.0,top
R81,54.864,-41.91,0.0,top
R82,54.864,-40.767,0.0,top
R83,113.728,-73.406,180.0,top
R84,111.506,-85.598,90.0,top
R85,114.554,-75.692,90.0,top
R86,113.284,-86.233,270.0,top
R87,116.586,-75.5015,270.0,top
R88,114.872,-86.233,90.0,top
R89,117.158,-85.5345,0.0,top
R9,33.401,-73.152,180.0,top
R90,118.898,-76.327,0.0,top
R91,121.285,-75.438,270.0,top
R92,120.269,-85.5345,180.0,top
R93,77.089,-62.103,90.0,top
R94,107.696,-46.228,270.0,top
R95,31.75,-74.803,0.0,top
R96,31.496,-60.579,0.0,top
R97,32.131,-55.88,180.0,top
R98,106.172,-57.531,180.0,top
R99,109.474,-57.531,180.0,top
RV1,48.514,-33.909,180.0,top
RV2,50.927,-28.956,0.0,top
U1,34.696834,-86.76801,270.0,top
U10,117.729,-96.901,270.0,top
U11,120.015,-117.094,270.0,top
U12,75.565,-69.088,90.0,top
U13,88.838,-96.075,180.0,top
U14,75.536,-78.554,270.0,top
U15,68.949885,-123.114235,90.0,top
U16,47.777983,-113.469142,180.0,top
U17,68.199,-42.926,180.0,top
U18,83.523625,-35.982029,180.0,top
U19,83.545928,-27.492273,180.0,top
U2,67.9704,-81.6864,90.0,top
U20,69.071311,-132.004022,0.0,top
U21,34.441161,-115.945344,180.0,top
U3,102.0953,-82.2071,270.0,top
U4,78.5495,-52.3494,180.0,top
U5,119.634,-61.468,90.0,top
U6,99.2886,-67.5132,270.0,top
U7,117.094,-80.899,270.0,top
U8,33.528,-66.802,270.0,top
U9,33.454045,-101.560688,270.0,top
Y1,90.678,-51.562,90.0,top
