Designator,Mid X,Mid Y,Layer,Rotation
R43,114.681000,-105.029000,top,180.000000
R44,116.840000,-124.714000,top,180.000000
R45,119.939000,-121.539000,top,0.000000
R46,115.443000,-102.616000,top,-90.000000
R47,117.729000,-101.727000,top,0.000000
R48,118.745000,-111.633000,top,90.000000
R49,116.459000,-91.567000,top,90.000000
R50,121.031000,-110.871000,top,180.000000
R51,118.719500,-90.805000,top,180.000000
R52,122.301000,-122.428000,top,90.000000
R53,120.015000,-102.489000,top,90.000000
R54,123.317000,-111.633000,top,-90.000000
R55,121.031000,-91.541500,top,-90.000000
R56,46.523712,-119.218476,top,180.000000
R57,75.565000,-62.103000,top,90.000000
R58,118.110000,-36.322000,top,90.000000
R59,120.650000,-36.322000,top,90.000000
R60,123.190000,-36.322000,top,90.000000
R61,125.603000,-36.322000,top,90.000000
R62,128.270000,-36.322000,top,90.000000
R63,130.810000,-36.347000,top,90.000000
R64,133.350000,-36.322000,top,90.000000
R65,135.890000,-36.322000,top,90.000000
R66,119.126000,-123.825000,top,90.000000
R67,116.967000,-104.076500,top,90.000000
R68,56.769000,-47.117000,top,180.000000
R69,56.769000,-45.974000,top,180.000000
R70,56.769000,-44.831000,top,180.000000
R71,56.769000,-43.688000,top,180.000000
R72,56.769000,-42.545000,top,180.000000
R73,56.769000,-41.402000,top,180.000000
R74,56.769000,-40.259000,top,180.000000
R75,54.864000,-48.768000,top,0.000000
R76,54.864000,-47.625000,top,0.000000
R77,54.887000,-46.482000,top,0.000000
R78,54.887000,-45.339000,top,0.000000
R79,54.864000,-44.196000,top,0.000000
R80,54.864000,-43.053000,top,0.000000
R81,54.864000,-41.910000,top,0.000000
R82,54.864000,-40.767000,top,0.000000
R83,113.728000,-73.406000,top,180.000000
R84,111.506000,-85.598000,top,90.000000
R85,114.554000,-75.692000,top,90.000000
R86,113.284000,-86.233000,top,-90.000000
R87,116.586000,-75.501500,top,-90.000000
R88,114.872000,-86.233000,top,90.000000
R89,117.158000,-85.534500,top,0.000000
R90,118.898000,-76.327000,top,0.000000
R91,121.285000,-75.438000,top,-90.000000
R92,120.269000,-85.534500,top,180.000000
R93,77.089000,-62.103000,top,90.000000
R94,107.696000,-46.228000,top,-90.000000
R95,31.750000,-74.803000,top,0.000000
R96,31.496000,-60.579000,top,0.000000
R97,32.131000,-55.880000,top,180.000000
R98,106.172000,-57.531000,top,180.000000
R99,109.474000,-57.531000,top,180.000000
R100,32.131000,-54.102000,top,180.000000
R101,50.644646,-118.037796,top,-90.000000
R102,41.797248,-113.480419,top,90.000000
R103,88.024743,-35.662698,top,-90.000000
R104,78.986605,-35.337703,top,90.000000
R105,71.370283,-125.730000,top,0.000000
R107,35.120074,-112.238607,top,0.000000
R108,39.230562,-114.130615,top,90.000000
R109,39.185768,-117.098175,top,-90.000000
R110,19.262579,-132.759169,top,180.000000
R111,41.429533,-117.189671,top,90.000000
R112,35.173083,-119.504025,top,180.000000
R113,28.059123,-132.673972,top,-90.000000
R114,67.255483,-125.780800,top,0.000000
R115,78.025083,-29.616400,top,-90.000000
R116,89.353483,-28.803600,top,90.000000
R117,71.827483,-124.612400,top,0.000000
R118,71.827483,-122.224800,top,180.000000
R119,73.351483,-122.682000,top,-90.000000
R120,60.245083,-67.919600,top,-90.000000
R121,61.616683,-67.919600,top,-90.000000
R122,58.822683,-67.919600,top,-90.000000
R123,64.918683,-75.844400,top,-90.000000
R124,65.985483,-75.844400,top,-90.000000
R125,67.052283,-75.844400,top,-90.000000
R126,62.175483,-91.186000,top,90.000000
R127,64.055083,-91.236800,top,90.000000
U1,34.696834,-86.768010,top,-90.000000
U2,67.970400,-81.686400,top,90.000000
U3,102.095300,-82.207100,top,-90.000000
U4,78.549500,-52.349400,top,180.000000
U5,119.634000,-61.468000,top,90.000000
U6,99.288600,-67.513200,top,-90.000000
U7,117.094000,-80.899000,top,-90.000000
U8,33.528000,-66.802000,top,-90.000000
U9,33.454045,-101.560688,top,-90.000000
U10,117.729000,-96.901000,top,-90.000000
U11,120.015000,-117.094000,top,-90.000000
U12,75.565000,-69.088000,top,90.000000
U13,88.838000,-96.075000,top,180.000000
U14,75.536000,-78.554000,top,-90.000000
U15,67.255483,-92.710000,top,180.000000
U16,47.777983,-113.469142,top,180.000000
U17,68.199000,-42.926000,top,180.000000
U18,83.523625,-35.982029,top,180.000000
U19,83.545928,-27.492273,top,180.000000
U20,69.071311,-132.004022,top,0.000000
U21,34.441161,-115.945344,top,180.000000
U22,69.239883,-123.223800,top,-90.000000
U23,66.493483,-67.462400,top,0.000000
Y1,90.678000,-51.562000,top,90.000000
