Designator,Val,Package,Mid X,Mid Y,Rotation,Layer,,old rot,fix needed
D19,1N4148WS,D_SOD-323,48.993,-131.758,270,top,,,
D20,1N4148WS,D_SOD-323,33.02,-122.555,0,top,,,
D21,1N4148WS,D_SOD-323,33.02,-120.523,180,top,,,
FB1,Ferrite_Bead_Small,L_0805_2012Metric,83.185,-98.679,270,top,,,
J18,USB_B_Micro,USB_Micro-B_Molex-105017-0001_with_3d,68.961,-131.953,0,top,,,
J24,USB_B_Micro,USB_Micro-B_Molex-105017-0001_with_3d,83.439,-28.067,180,top,,,
L1,10uH,L_Murata_LQH55DN_5.7x5.0mm,88.9,-105.283,0,top,,,
Q1,MMBT3904,SOT-23,33.02,-50.673,270,top,,90,180
R1,100k,R_0603_1608Metric,30.861,-72.263,270,top,,,
R2,1M5,R_0603_1608Metric,94.234,-100.457,180,top,,,
R3,100k,R_0603_1608Metric,31.496,-62.23,180,top,,,
R4,100k,R_0603_1608Metric,32.766,-106.6165,180,top,,,
R5,100k,R_0603_1608Metric,32.004,-117.9195,180,top,,,
R7,200k,R_0603_1608Metric,91.694,-99.695,270,top,,,
R8,100k,R_0603_1608Metric,30.353,-50.5715,90,top,,,
R9,33k,R_0603_1608Metric,33.401,-73.152,180,top,,,
R10,22k,R_0603_1608Metric,34.671,-60.706,180,top,,,
R11,22k,R_0603_1608Metric,35.814,-106.6165,180,top,,,
R12,22k,R_0603_1608Metric,35.052,-116.3955,180,top,,,
R13,10k,R_0603_1608Metric,80.01,-66.929,270,top,,,
R14,33k,R_0603_1608Metric,114.3,-62.23,270,top,,,
R15,33k,R_0603_1608Metric,121.158,-50.419,0,top,,,
R16,5.6k,R_0603_1608Metric,115.951,-62.23,90,top,,,
R17,5.6k,R_0603_1608Metric,119.6085,-52.197,180,top,,,
R18,33k,R_0603_1608Metric,119.38,-66.167,0,top,,,
R19,33k,R_0603_1608Metric,119.482,-56.769,0,top,,,
R20,1k,R_0603_1608Metric,119.38,-69.215,180,top,,,
R21,1k,R_0603_1608Metric,119.634,-53.721,180,top,,,
R22,100k,R_0603_1608Metric,34.163,-124.714,180,top,,,
R24,8.2k,R_0603_1608Metric,44.45,-62.23,180,top,,,
R25,200k,R_0603_1608Metric,80.137,-105.6005,90,top,,,
R26,100k,R_0603_1608Metric,33.8455,-91.5035,180,top,,,
R27,100k,R_0603_1608Metric,31.496,-102.743,180,top,,,
R28,10k,R_0603_1608Metric,41.402,-62.23,180,top,,,
R29,2k2,R_0603_1608Metric,42.9514,-60.706,180,top,,,
R30,22k,R_0603_1608Metric,36.957,-91.5035,180,top,,,
R31,22k,R_0603_1608Metric,34.544,-101.219,180,top,,,
R32,100k,R_0603_1608Metric,72.009,-120.269,270,top,,,
R33,100k,R_0603_1608Metric,70.485,-120.269,270,top,,,
R34,100R,R_0603_1608Metric,82.169,-63.246,270,top,,,
R35,100R,R_0402_1005Metric,97.028,-56.642,180,top,,,
R36,100k,R_0603_1608Metric,41.91,-132.969,180,top,,,
R37,10k,R_0603_1608Metric,61.849,-118.745,0,top,,,
R38,2k2,R_0603_1608Metric,74.168,-41.783,270,top,,,
R39,2k2,R_0603_1608Metric,69.723,-40.894,180,top,,,
R40,100R,R_0402_1005Metric,97.028,-57.785,180,top,,,
R41,100R,R_0402_1005Metric,56.769,-48.26,180,top,,,
R42,22k,R_0603_1608Metric,117.551,-122.403,270,top,,,
R43,10k,R_0603_1608Metric,114.681,-105.029,180,top,,,
R44,10k,R_0603_1608Metric,116.84,-124.714,180,top,,,
R45,10k,R_0603_1608Metric,119.939,-121.539,0,top,,,
R46,22k,R_0603_1608Metric,115.443,-102.616,270,top,,,
R47,10k,R_0603_1608Metric,117.729,-101.727,0,top,,,
R48,10k,R_0603_1608Metric,118.745,-111.633,90,top,,,
R49,10k,R_0603_1608Metric,116.459,-91.567,90,top,,,
